month,pieces,sales,xtz,usd,collectors,sellers,avg_pieces_per_collector,avg_usd_per_collector
2025-07,69089,62436,1246507.82,795224.93,3899,6032,17.72,203.96
2025-08,58038,52393,831716.82,697098.72,3689,5418,15.73,188.97
2025-09,99666,53104,625563.67,480758.06,3585,5213,27.8,134.1
2025-10,39015,36606,594688.25,373589.9,2975,4206,13.11,125.58
2025-11,41322,36980,542175.27,301976.32,2796,4033,14.78,108.0
2025-12,46830,38223,669494.35,321211.49,2599,4870,18.02,123.59
2026-01,30402,28545,432088.9,249839.28,2276,4014,13.36,109.77
2026-02,32658,31088,452351.65,191282.88,2052,4452,15.92,93.22
2026-03,33862,31759,573971.68,216706.87,1970,4433,17.19,110.0
2026-04,49677,44315,767327.27,265681.08,2403,4225,20.67,110.56
2026-05,35959,34076,620232.42,235002.88,2146,4416,16.76,109.51
2026-06,40083,38227,1264404.19,300993.01,2064,5023,19.42,145.83
2026-07,40509,36601,1019027.2,236163.35,2060,5198,19.66,114.64
2026-08,43103,38141,1037562.79,203110.34,2071,5237,20.81,98.07
